tripinfo_arrival;tripinfo_waitSteps;tripinfo_vType;tripinfo_depart;tripinfo_routeLength;tripinfo_vaporized;tripinfo_duration;tripinfo_arrivalSpeed;tripinfo_devices;tripinfo_departPos;tripinfo_departDelay;tripinfo_timeLoss;tripinfo_departLane;tripinfo_departSpeed;tripinfo_arrivalPos;tripinfo_rerouteNo;tripinfo_id;tripinfo_arrivalLane;personinfo_depart;personinfo_id;stop_arrival;walk_arrival;ride_arrival;ride_depart
280.00;1;truck;158.00;884.52;;122.00;10.94;tripinfo_truck20 routing_truck20;7.20;-0.20;30.00;-30567637#0_1;0.00;136.75;1;truck20;177308094#1_1;;;;;;
282.00;45;passenger;100.00;1081.76;;182.00;10.19;tripinfo_veh153 routing_veh153;5.10;-0.86;65.14;32761348#3_1;0.00;16.33;1;veh153;37383981#1_1;;;;;;
283.00;0;passenger;48.00;2144.49;;235.00;9.89;tripinfo_veh73 routing_veh73;5.10;-0.12;33.62;69221692#7_1;0.00;41.32;1;veh73;30993606#5_1;;;;;;
287.00;0;passenger;160.00;821.32;;127.00;11.07;tripinfo_veh243 routing_veh243;5.10;-0.18;26.14;30533820#3_1;0.00;23.01;1;veh243;-180241128_1;;;;;;
290.00;0;passenger;209.00;560.79;;81.00;10.09;tripinfo_veh318 routing_veh318;5.10;-0.62;17.68;30417335#2_1;0.00;43.05;1;veh318;180762421_1;;;;;;
291.00;0;passenger;129.00;1196.70;;162.00;10.47;tripinfo_veh196 routing_veh196;4.90;-0.20;39.12;266666376_1;0.00;156.70;1;veh196;37501151#6_1;;;;;;
292.00;3;passenger;42.00;2230.26;;250.00;10.35;tripinfo_veh65 routing_veh65;5.10;-0.85;48.70;-279549603#0_1;0.00;26.85;1;veh65;29062007#0_1;;;;;;
293.00;0;passenger;138.00;1450.65;;155.00;13.31;tripinfo_veh210 routing_veh210;5.10;-0.43;21.97;-324041273_1;0.00;52.33;1;veh210;266658733_1;;;;;;
294.00;21;passenger;7.00;2649.86;;287.00;10.65;tripinfo_veh12 routing_veh12;5.10;-0.91;66.33;-290617981_1;0.00;137.21;1;veh12;-30801686_1;;;;;;
296.00;0;truck;166.00;1000.96;;130.00;10.75;tripinfo_truck21 routing_truck21;1.97;-0.11;24.55;181961188#3_1;0.00;0.20;1;truck21;175790476#2_2;;;;;;
296.00;0;passenger;54.00;1801.70;;242.00;2.26;tripinfo_veh82 routing_veh82;5.10;-0.05;39.46;159554244#1_1;0.00;31.38;1;veh82;-37180732#2_0;;;;;;
297.00;64;passenger;106.00;878.07;;191.00;13.24;tripinfo_veh161 routing_veh161;5.10;-0.13;96.59;37164516#3_1;0.00;5.06;1;veh161;177308060#2_1;;;;;;
299.00;21;passenger;36.00;2500.85;;263.00;10.38;tripinfo_veh56 routing_veh56;5.10;-0.91;67.54;37720450#2_1;0.00;98.62;1;veh56;37355471#0_1;;;;;;
300.00;2;passenger;108.00;1604.12;;192.00;10.29;tripinfo_veh164 routing_veh164;5.10;-0.11;26.08;246519196#0_1;0.00;43.05;1;veh164;180762421_1;;;;;;
301.00;0;passenger;228.00;682.19;;73.00;9.18;tripinfo_veh347 routing_veh347;5.10;-0.74;8.83;-279550956_1;0.00;0.69;1;veh347;38923503#2_1;;;;;;
303.00;5;passenger;0.00;2145.97;;303.00;9.84;tripinfo_veh0 routing_veh0;5.10;0.00;68.09;30565122#4_1;0.00;28.16;1;veh0;-180135575_1;;;;;;
303.00;3;truck;47.00;1791.61;;256.00;10.93;tripinfo_truck6 routing_truck6;7.20;-0.46;59.46;169017784#4_1;0.00;51.21;1;truck6;30533904#1_1;;;;;;
303.00;0;passenger;110.00;1759.14;;193.00;10.20;tripinfo_veh163 routing_veh163;5.10;2.55;31.23;169051254#1_0;0.00;95.37;1;veh163;37180462#1_1;;;;;;
304.00;90;passenger;62.00;1002.15;;242.00;12.91;tripinfo_veh95 routing_veh95;5.10;-0.62;135.23;30416921#2_1;0.00;58.53;1;veh95;-194799789#0_1;;;;;;
305.00;11;passenger;48.00;2997.50;;257.00;10.71;tripinfo_veh74 routing_veh74;5.10;-0.78;51.80;205013607#0_1;0.00;92.34;1;veh74;30416921#0_1;;;;;;
306.00;0;passenger;140.00;1172.35;;166.00;13.43;tripinfo_veh213 routing_veh213;5.10;-0.41;37.37;172020977#2_1;0.00;16.14;1;veh213;37295846#2_1;;;;;;
306.00;4;passenger;154.00;1180.85;;152.00;9.03;tripinfo_veh234 routing_veh234;5.10;-0.25;26.19;180762420_1;0.00;109.16;1;veh234;32761334_1;;;;;;
307.00;31;passenger;72.00;2296.69;;235.00;10.02;tripinfo_veh110 routing_veh110;5.10;-0.51;65.19;290618568#0_1;0.00;4.43;1;veh110;37343418_1;;;;;;
307.00;2;truck;142.00;1777.09;;165.00;13.60;tripinfo_truck18 routing_truck18;7.20;-0.38;37.38;324241987_1;0.00;20.79;1;truck18;-194799780#0_1;;;;;;
312.00;0;passenger;49.00;1978.25;;263.00;11.00;tripinfo_veh75 routing_veh75;5.10;-0.44;49.38;-324751748#6_1;0.00;23.60;1;veh75;175999120#1_1;;;;;;
314.00;0;passenger;232.00;639.23;;82.00;10.25;tripinfo_veh353 routing_veh353;5.10;-0.69;10.70;37722664_1;0.00;71.66;1;veh353;171671530#0_1;;;;;;
316.00;93;truck;23.00;1269.68;;293.00;10.87;tripinfo_truck3 routing_truck3;7.20;-0.73;155.70;194799782#0_1;0.00;59.45;1;truck3;-180762426_1;;;;;;
318.00;26;passenger;156.00;968.84;;162.00;10.62;tripinfo_veh237 routing_veh237;5.10;-0.23;56.63;30416841#5_1;0.00;75.65;1;veh237;30565122#5_1;;;;;;
318.00;0;truck;87.00;2731.37;;231.00;10.88;tripinfo_truck11 routing_truck11;7.20;-0.01;37.84;-290617981_1;0.00;137.21;1;truck11;-30801686_1;;;;;;
320.00;1;passenger;139.00;2036.38;;181.00;12.87;tripinfo_veh212 routing_veh212;5.10;-0.75;32.23;29062005#0_1;0.00;107.74;1;veh212;-194799786#1_1;;;;;;
